avgrating,Opening,numgames
2200,Sicilian defence,2571
2400,Sicilian defence,107
2600,Sicilian defence,5
800,Three knights game,40
1000,Three knights game,958
1200,Three knights game,4654
1400,Three knights game,6897
1600,Three knights game,3921
1800,Three knights game,1272
2000,Three knights game,316
2200,Three knights game,59
2400,Three knights game,6
800,Torre attack (Tartakower variation),1
1000,Torre attack (Tartakower variation),25
1200,Torre attack (Tartakower variation),213
1400,Torre attack (Tartakower variation),434
1600,Torre attack (Tartakower variation),678
1800,Torre attack (Tartakower variation),452
2000,Torre attack (Tartakower variation),140
2200,Torre attack (Tartakower variation),37
2400,Torre attack (Tartakower variation),3
800,Two knights defence,11
1000,Two knights defence,863
1200,Two knights defence,5829
1400,Two knights defence,12259
1600,Two knights defence,8155
1800,Two knights defence,2406
2000,Two knights defence,544
2200,Two knights defence,73
800,Vienna game,52
1000,Vienna game,1007
1200,Vienna game,4287
1400,Vienna game,7087
1600,Vienna game,6690
1800,Vienna game,3106
2000,Vienna game,891
2200,Vienna game,171
2400,Vienna game,15
